,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cidreira,98,BR,1572820692,71,-30.18,-50.21,67.95,5.21
1,Leningradskiy,32,RU,1572820752,77,69.38,178.42,17.6,3.44
2,Puerto Ayora,20,EC,1572820689,57,-0.74,-90.35,78.8,16.11
3,Rikitea,82,PF,1572820675,78,-23.12,-134.97,74.26,9.91
4,Yellowknife,40,CA,1572820682,66,62.46,-114.35,12.99,8.05
5,Butaritari,5,KI,1572820685,77,3.07,172.79,83.39,14.47
6,Nizhnyaya Tavda,0,RU,1572821193,96,57.67,66.17,14.79,2.98
7,Kiama,75,AU,1572821193,72,-34.68,150.87,73.99,6.93
8,Tuatapere,53,NZ,1572820703,37,-46.13,167.68,70.9,6.08
9,Malakal,100,SS,1572821194,76,9.53,31.66,75.42,2.84
10,Longyearbyen,40,SJ,1572820685,72,78.22,15.64,15.8,10.29
11,Omsukchan,100,RU,1572821195,96,62.53,155.8,17.92,3.33
12,Punta Arenas,75,CL,1572820681,70,-53.15,-70.92,42.8,33.33
13,Naze,75,JP,1572821195,69,28.37,129.48,73.4,16.11
14,Chokurdakh,99,RU,1572820701,93,70.63,147.92,-0.46,10.16
15,Constitucion,44,CL,1572820798,89,-35.33,-72.42,52.0,12.3
16,Mayo,1,US,1572821196,52,38.89,-76.51,52.0,6.2
17,Hilo,1,US,1572820678,58,19.73,-155.09,86.0,9.17
18,Sena Madureira,81,BR,1572821196,96,-9.07,-68.66,74.32,3.04
19,Loiza,75,PR,1572821159,78,18.43,-65.88,80.6,8.95
20,Jamestown,90,US,1572820707,80,42.1,-79.24,39.0,10.29
21,Ribeira Grande,75,PT,1572820765,72,38.52,-28.7,66.2,5.82
22,Bluff,34,NZ,1572820692,34,-46.6,168.33,72.73,4.23
23,Narsaq,1,GL,1572820728,58,60.92,-46.05,26.6,5.82
24,East London,80,ZA,1572820717,70,-33.02,27.91,64.54,10.96
25,Kloulklubed,75,PW,1572821198,78,7.04,134.26,82.4,12.75
